feature,media_estandarizada,varianza_estandarizada,desviacion_estandarizada
feature_1,2.840974743148549e-17,1.0,1.0
feature_2,-2.392399783704041e-17,0.9999999999999998,0.9999999999999999
feature_3,-4.186699621482072e-17,0.9999999999999998,0.9999999999999999
feature_4,-2.392399783704041e-17,1.0,1.0
feature_5,-1.345724878333523e-16,1.0,1.0
feature_6,-1.9139198269632327e-16,1.0,1.0
feature_7,-4.485749594445077e-17,0.9999999999999998,0.9999999999999999
feature_8,-1.4952498648150256e-17,1.0,1.0
feature_9,7.775299297038134e-17,0.9999999999999998,0.9999999999999999
feature_10,4.964229551185885e-16,1.0,1.0
feature_11,4.724989572815481e-16,1.0,1.0
feature_12,1.3457248783335231e-17,1.0000000000000002,1.0
feature_13,-5.980999459260102e-18,1.0,1.0
