,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
feature_1,-0.07487102541699003,-0.2468294765082952,0.5131566715899692,0.14198314020935,0.22706277075781156,-0.002302138461271795,-0.6473748599655826,-0.36569564419390516,0.14374889795813406,0.09254505807147678,0.03794887664748169,-0.025260731576176546,0.11951437963225522
feature_2,-0.28813725720607886,0.1602957667581793,-0.4048656343015956,0.3234445575804932,-0.024419539153260957,0.05060467916674113,-0.28832147605260783,-0.03636048753820255,-0.4497359514379945,0.43038771445307794,0.3517928199189055,-0.14424128384875695,-0.055510103299117514
feature_3,-0.3517642097609936,0.0735011400460513,0.004854539605032106,-0.5890653042953742,-0.01683589908008405,-0.09248273797560078,-0.05119508015264709,-0.24305261642933,0.11008348286715847,0.1618949099068466,0.0022606860985393603,-0.023070750252629356,-0.6437703811800709
feature_4,-0.33480006407199586,0.21437144026639457,-0.18819934064823712,0.1203281591361615,-0.17405461779900766,0.2280511807812668,-0.40571444518731375,0.18444425632176797,0.1624203319934367,-0.6323508741763119,-0.17754282417627493,-0.2110073658800085,-0.09400076621405921
feature_5,-0.2880467767349215,-0.4173340887639849,-0.017598994036657104,0.11833677727188203,0.3347006464202337,-0.0964057022343491,0.22820734742743498,0.32782814295134327,0.25123015414251354,0.13704683981692,-0.016485106769798304,-0.6034709790515926,-0.03649822594005497
feature_6,-0.08704642572754348,-0.42132066881751706,-0.26591620524427556,0.21032638628592532,-0.41155851009000183,0.31179478817033185,0.18358254932072107,-0.39519867054536223,0.4196369632442306,0.019668833565013987,0.22098478399618146,0.13302125384234445,-0.02170910812838768
feature_7,-0.11382005134420119,0.4271230069311376,0.4942689373939786,0.25310114787643717,-0.20569428802292603,-0.11864049356007603,0.20634115526303162,0.14664859024112953,0.2509826549178963,-0.02183923256156091,0.5422735922884895,-0.05099038118625257,-0.1251033896632654
feature_8,-0.30777443818631467,-0.1561316915473043,0.09352766976226605,0.39507388020493184,0.22959093893947782,-0.2631315250332731,0.30463163561194595,-0.29475337670910884,-0.364650587109734,-0.38613085838935596,-0.10274259769448191,0.23309529473131252,-0.2597696301898967
feature_9,-0.14693980725802194,-0.26685510622571823,0.07060674836756367,0.0018739565064036946,-0.641101745105576,-0.6080420393234114,-0.15719634268462376,0.19211535279993416,-0.09049765010028928,0.08773007235567444,-0.1842667217738628,0.020833868387690302,0.09791826951527381
feature_10,0.39354899708281443,-0.05675966222656208,0.21675805647252439,0.0345919581522227,-0.311665637708933,0.1792051363305117,0.08213140050087672,-0.2717551344845957,-0.3578862257817832,-0.09590811373634749,-0.07429527233172759,-0.6206327703481588,-0.23639957346849677
feature_11,-0.1682549234727247,-0.39467620898276196,0.3099335961625844,-0.17679936075979233,-0.10176264658456267,0.48292229425460614,-0.017201032400058193,0.4466460168131555,-0.36214110330782456,-0.04335059476794743,0.19395838031067128,0.25248137740076065,-0.10418182383438654
feature_12,-0.3372835907938306,0.2631071710406746,0.24973045740302124,0.19389309331484633,-0.1436114763950506,0.3346070784047053,0.20025338313596242,-0.051099862153414125,0.02593941372179899,0.3980612271686718,-0.6095138483393493,0.036502599023390404,0.09894762091991359
feature_13,-0.3984619351075524,0.06406971639256251,0.0533631572991476,-0.4065840664368749,-0.04139864442402891,0.006649174029275662,0.19375130499009224,-0.294870629192083,-0.18790840504697703,-0.18480963133549097,0.20236454448528665,-0.20975294085831508,0.6231426314002416
