k,inertia,silhouette,davies_bouldin,calinski_harabasz
1,2503.2424242424245,,,
2,2049.743942685436,0.16822356303034341,2.0747191648996623,65.26768991644839
3,1871.5174657859916,0.12225009371629747,2.27581750727747,49.619397409200886
4,1763.1924769137936,0.10755741832580766,2.224447138832309,40.99280848165932
5,1684.7484718012504,0.10194994402544674,2.4112731712243285,35.46526946204847
6,1613.7377570843146,0.10245515493706005,2.273643611289621,32.08028776753541
7,1562.8942025201318,0.0953499617185441,2.232103283654136,29.080768216187266
8,1508.626682750162,0.0866935050764978,2.1288473781870807,27.219074007405556
9,1469.6607170341592,0.09956548717970783,2.0989242348388504,25.31804860007884
10,1423.860569662411,0.08452202498655725,2.211486583060199,24.173917561005084
11,1393.251394292602,0.0859534881831988,2.0724696756618917,22.78536636432597
12,1357.894312980646,0.08948463519864633,2.1264783882573677,21.85363621716555
13,1333.4338628107357,0.08251824563051788,2.0393273820090445,20.762536530202272
14,1304.5586116053387,0.09200790574291023,1.9330662501643177,20.002493030594703
15,1280.9970664626337,0.09553267005823401,2.029390303772064,19.219024211556828
