feature,importance_mean,importance_max,importance_std
feature_13,0.05971397835639084,0.05971397835639084,0.031907958943268436
feature_3,0.04231623549698917,0.08808269569310431,0.022197760150797857
feature_10,0.040520684388202104,0.040520684388202104,0.027663690474153093
feature_2,0.034069859144291156,0.04512780360429787,0.023586548687855462
feature_12,0.03347946313457564,0.04243317314370223,0.022219389416984234
feature_1,0.033453845578667527,0.033453845578667527,0.021485537758047225
feature_8,0.03326168967838589,0.0530601339180558,0.02148024173697204
feature_4,0.032413946241081355,0.032413946241081355,0.027842809950663516
feature_5,0.031571980371210076,0.031571980371210076,0.02643505812080358
feature_9,0.03131375903379366,0.04018849448262162,0.019820556075653927
feature_7,0.030876256656840417,0.030876256656840417,0.0225808350380126
feature_6,0.02784095684161868,0.02784095684161868,0.014533273896950296
feature_11,0.027420310425094668,0.027420310425094668,0.018252280199281323
