feature,importance_mean,importance_std
feature_7,0.05476190476190473,0.028769157079987066
feature_8,0.04523809523809521,0.03442102927333561
feature_5,0.038095238095238064,0.02246185983823
feature_12,0.02738095238095235,0.04673282482473934
feature_3,0.02499999999999998,0.03214285714285715
feature_4,0.022619047619047608,0.017210514636667805
feature_2,0.020238095238095208,0.04091152447009425
feature_13,0.015476190476190461,0.021983553943594518
feature_11,0.007142857142857136,0.01700340102034012
feature_1,0.0,0.0
feature_6,0.0,0.0
feature_9,0.0,0.0
feature_10,0.0,0.0
